timestamp,x_nose,y_nose,z_nose,x_shoulder,y_shoulder,z_shoulder,hand_detected,face_detected,label
0,0.4212118983268738,0.7021576166152954,-1.5204943418502808,0.7183127403259277,0.9117742776870728,-0.7881180644035339,0,1,0
1,0.4248194098472595,0.6868273615837097,-1.6640199422836304,0.707982063293457,0.897904098033905,-0.7772875428199768,0,1,0
2,0.42476290464401245,0.683941662311554,-1.7054760456085205,0.6992668509483337,0.8956199884414673,-0.7667894959449768,0,1,0
3,0.42495498061180115,0.6765080690383911,-1.660154104232788,0.6977750658988953,0.8937525153160095,-0.7541728019714355,0,1,0
4,0.43218034505844116,0.6712032556533813,-1.6487436294555664,0.6940072774887085,0.8932327628135681,-0.7501389384269714,0,1,0
5,0.4328538775444031,0.6694837212562561,-1.6389906406402588,0.6898242235183716,0.8917295336723328,-0.7521644234657288,0,1,0
6,0.4354519844055176,0.6685539484024048,-1.6348222494125366,0.6878558397293091,0.8907867670059204,-0.7476415038108826,0,1,0
7,0.43662065267562866,0.6689577102661133,-1.6287555694580078,0.6887702345848083,0.8901823163032532,-0.7498341202735901,0,1,0
8,0.43498310446739197,0.6693523526191711,-1.5563809871673584,0.6917293071746826,0.8917192816734314,-0.7613519430160522,0,1,0
9,0.4351371228694916,0.6697863340377808,-1.5914281606674194,0.692130446434021,0.8918160796165466,-0.7862491607666016,0,1,0
10,0.43561115860939026,0.667584240436554,-1.445866346359253,0.6922969222068787,0.891883134841919,-0.6608272790908813,0,1,0
11,0.4355648159980774,0.6672269701957703,-1.4428282976150513,0.6918919682502747,0.8925996422767639,-0.6575366258621216,0,1,0
12,0.4353909492492676,0.6654632091522217,-1.48084557056427,0.6917447447776794,0.8927539587020874,-0.6806008815765381,0,1,0
13,0.43575724959373474,0.6639286875724792,-1.5614644289016724,0.6917132139205933,0.8927990794181824,-0.6996399164199829,0,1,0
14,0.4363132119178772,0.6640068292617798,-1.6972057819366455,0.6923810243606567,0.8928402662277222,-0.7845760583877563,0,1,0
15,0.4350794851779938,0.6629928350448608,-1.6571182012557983,0.692977786064148,0.8929079174995422,-0.7479442358016968,0,1,0
16,0.4350891709327698,0.6631319522857666,-1.548606514930725,0.6930307745933533,0.8927412629127502,-0.678817868232727,0,1,0
17,0.4370633661746979,0.663228452205658,-1.5517032146453857,0.6943472027778625,0.892832338809967,-0.6801437735557556,0,1,0
18,0.437369167804718,0.6630659699440002,-1.5526305437088013,0.6942510008811951,0.893069863319397,-0.6909186244010925,0,1,0
19,0.4367857873439789,0.662928581237793,-1.533129096031189,0.692825436592102,0.89311683177948,-0.6755272746086121,0,1,0
20,0.4371737837791443,0.6627675890922546,-1.5366308689117432,0.6922816634178162,0.8929039835929871,-0.6747347712516785,0,1,0
21,0.4372519850730896,0.6623952984809875,-1.528853416442871,0.6920663714408875,0.8940272927284241,-0.676132082939148,0,1,0
22,0.43635115027427673,0.662794828414917,-1.5473949909210205,0.6920883059501648,0.8939430713653564,-0.679902195930481,0,1,0
23,0.43628913164138794,0.6628192067146301,-1.4632670879364014,0.6915755271911621,0.8945062160491943,-0.6371742486953735,0,1,0
24,0.43578609824180603,0.6624861359596252,-1.4551362991333008,0.6912258863449097,0.8941741585731506,-0.6269465684890747,0,1,0
25,0.43577179312705994,0.6628153324127197,-1.4726893901824951,0.6911379098892212,0.8921753764152527,-0.6358696222305298,0,1,0
26,0.43574804067611694,0.6655407547950745,-1.5393121242523193,0.6919340491294861,0.8916271328926086,-0.6793337464332581,0,1,0
27,0.43664222955703735,0.6698256731033325,-1.7300198078155518,0.6925426721572876,0.8915184736251831,-0.7882957458496094,0,1,0
28,0.4366304874420166,0.6700894832611084,-1.6772844791412354,0.6896271109580994,0.8924897909164429,-0.7629953026771545,0,1,0
29,0.43437594175338745,0.6724187135696411,-1.489125370979309,0.6896589994430542,0.8949698805809021,-0.6791853308677673,0,1,0
30,0.4312896728515625,0.6742037534713745,-1.579860806465149,0.690318763256073,0.8950847387313843,-0.7258578538894653,0,1,0
31,0.42982611060142517,0.6731939911842346,-1.3443195819854736,0.6902256011962891,0.8985595107078552,-0.6299324035644531,0,1,0
32,0.4298378825187683,0.6731712222099304,-1.423581838607788,0.6902069449424744,0.8985676169395447,-0.6439209580421448,0,1,0
33,0.4298573434352875,0.673225462436676,-1.457065463066101,0.6911190152168274,0.8986693024635315,-0.6525795459747314,0,1,0
34,0.4304705560207367,0.6735430359840393,-1.430485486984253,0.690913736820221,0.8974738717079163,-0.6407330632209778,0,1,0
35,0.4312326908111572,0.6732378005981445,-1.5272685289382935,0.6936454176902771,0.8974648714065552,-0.6924514770507812,0,1,0
36,0.4313316345214844,0.6723495721817017,-1.55294668674469,0.69538414478302,0.8975208401679993,-0.7259321212768555,0,1,0
37,0.43037810921669006,0.6724100708961487,-1.5550178289413452,0.6999131441116333,0.8975176215171814,-0.7278262376785278,0,1,0
38,0.43039068579673767,0.6710473895072937,-1.5057713985443115,0.6990963220596313,0.8959773778915405,-0.6867210268974304,0,1,0
39,0.4303869307041168,0.6707340478897095,-1.4384772777557373,0.6985359787940979,0.8958635926246643,-0.6200165748596191,0,1,0
40,0.43134021759033203,0.670724630355835,-1.4812065362930298,0.6985703706741333,0.8963242769241333,-0.6282187104225159,0,1,0
41,0.43459421396255493,0.6702784299850464,-1.4329184293746948,0.6979169845581055,0.8962959051132202,-0.6042719483375549,0,1,0
42,0.43594875931739807,0.6695104837417603,-1.585616111755371,0.6978868246078491,0.8953742980957031,-0.7004643678665161,0,1,0
43,0.4387426972389221,0.6686349511146545,-1.5806642770767212,0.6971093416213989,0.8956276774406433,-0.7073871493339539,0,1,0
